date,county,state,cases,deaths,type,SAH
2020-02-29,Solano,California,11,0,Stay at home,0
2020-02-29,Sonoma,California,1,0,Stay at home,0
2020-02-29,Cook,Illinois,3,0,Stay at home,0
2020-02-29,Suffolk,Massachusetts,1,0,Stay at home advisory,0
2020-02-29,Douglas,Nebraska,13,0,,0
2020-02-29,Washington,Oregon,1,0,Stay at home,0
2020-02-29,Bexar,Texas,11,0,Stay at home,0
2020-02-29,Bexar,Texas,11,0,Stay at home,0
2020-02-29,Salt Lake,Utah,1,0,Stay at home,0
2020-02-29,King,Washington,4,1,Stay at home,0
2020-02-29,Snohomish,Washington,2,0,Stay at home,0
2020-02-29,Spokane,Washington,4,0,Stay at home,0
2020-02-29,Dane,Wisconsin,1,0,Stay at home,0
2020-03-01,Maricopa,Arizona,1,0,Stay at home,0
2020-03-01,Alameda,California,1,0,Stay at home,0
2020-03-01,Humboldt,California,1,0,Stay at home,0
2020-03-01,Los Angeles,California,1,0,Stay at home,0
2020-03-01,Marin,California,1,0,Stay at home,0
2020-03-01,Napa,California,1,0,Stay at home,0
2020-03-01,Orange,California,1,0,Stay at home,0
2020-03-01,Sacramento,California,3,0,Stay at home,0
2020-03-01,San Diego,California,1,0,Stay at home,0
2020-03-01,San Francisco,California,3,0,Stay at home,0
2020-03-01,Santa Clara,California,7,0,Stay at home,0
2020-03-01,Solano,California,12,0,Stay at home,0
2020-03-01,Sonoma,California,1,0,Stay at home,0
2020-03-01,Hillsborough,Florida,1,0,Safer at home,0
2020-03-01,Manatee,Florida,1,0,Stay at home,0
2020-03-01,Cook,Illinois,3,0,Stay at home,0
2020-03-01,Suffolk,Massachusetts,1,0,Stay at home advisory,0
2020-03-01,Douglas,Nebraska,13,0,,0
2020-03-01,New York City,New York,1,0,Stay at home,0
2020-03-01,Washington,Oregon,2,0,Stay at home,0
2020-03-01,Unknown,Rhode Island,2,0,Stay at home,0
2020-03-01,Bexar,Texas,11,0,Stay at home,0
2020-03-01,Bexar,Texas,11,0,Stay at home,0
2020-03-01,Salt Lake,Utah,1,0,Stay at home,0
2020-03-01,King,Washington,11,3,Stay at home,0
2020-03-01,Snohomish,Washington,2,0,Stay at home,0
2020-03-01,Spokane,Washington,4,0,Stay at home,0
2020-03-01,Dane,Wisconsin,1,0,Stay at home,0
2020-03-02,Maricopa,Arizona,1,0,Stay at home,0
2020-03-02,Alameda,California,1,0,Stay at home,0
2020-03-02,Humboldt,California,1,0,Stay at home,0
2020-03-02,Los Angeles,California,1,0,Stay at home,0
2020-03-02,Marin,California,1,0,Stay at home,0
2020-03-02,Napa,California,1,0,Stay at home,0
2020-03-02,Orange,California,1,0,Stay at home,0
2020-03-02,Placer,California,1,0,Stay at home,0
2020-03-02,Sacramento,California,3,0,Stay at home,0
2020-03-02,San Diego,California,1,0,Stay at home,0
2020-03-02,San Francisco,California,3,0,Stay at home,0
2020-03-02,San Mateo,California,1,0,Stay at home,0
2020-03-02,Santa Clara,California,9,0,Stay at home,0
2020-03-02,Solano,California,12,0,Stay at home,0
2020-03-02,Sonoma,California,2,0,Stay at home,0
2020-03-02,Hillsborough,Florida,1,0,Safer at home,0
2020-03-02,Manatee,Florida,1,0,Stay at home,0
2020-03-02,Fulton,Georgia,2,0,Stay at home,0
2020-03-02,Cook,Illinois,4,0,Stay at home,0
2020-03-02,Norfolk,Massachusetts,1,0,Stay at home advisory,0
2020-03-02,Suffolk,Massachusetts,1,0,Stay at home advisory,0
2020-03-02,Douglas,Nebraska,13,0,,0
2020-03-02,Grafton,New Hampshire,1,0,Stay at home,0
2020-03-02,New York City,New York,1,0,Stay at home,0
2020-03-02,Washington,Oregon,2,0,Stay at home,0
2020-03-02,Unknown,Rhode Island,2,0,Stay at home,0
2020-03-02,Bexar,Texas,11,0,Stay at home,0
2020-03-02,Bexar,Texas,11,0,Stay at home,0
2020-03-02,Salt Lake,Utah,1,0,Stay at home,0
2020-03-02,King,Washington,15,6,Stay at home,0
2020-03-02,Snohomish,Washington,3,0,Stay at home,0
2020-03-02,Spokane,Washington,4,0,Stay at home,0
2020-03-02,Walla Walla,Washington,1,0,Stay at home,0
2020-03-02,Dane,Wisconsin,1,0,Stay at home,0
2020-03-03,Maricopa,Arizona,2,0,Stay at home,0
2020-03-03,Alameda,California,2,0,Stay at home,0
